puzzle_id,difficulty,shortest_hops,quality_score,start_qid,start_name,start_rank,end_qid,end_name,end_rank,path_qids,path_names,path_movies,path_box_office_total,path_box_office_known_edges
1,easy,1,0.7429,Q191084,Val Kilmer,8,Q37079,Tom Cruise,12,Q191084 -> Q37079,Val Kilmer -> Tom Cruise,Top Gun: Maverick,702480344,1
2,easy,1,0.7419,Q228943,Elle Fanning,10,Q13909,Angelina Jolie,17,Q228943 -> Q13909,Elle Fanning -> Angelina Jolie,Maleficent,758410378,1
3,easy,1,0.7395,Q36970,Jackie Chan,7,Q2685,Arnold Schwarzenegger,15,Q36970 -> Q2685,Jackie Chan -> Arnold Schwarzenegger,Around the World in 80 Days,72178895,1
4,easy,1,0.7364,Q43416,Keanu Reeves,4,Q102642,Diane Keaton,14,Q43416 -> Q102642,Keanu Reeves -> Diane Keaton,Something's Gotta Give,266700000,1
5,easy,1,0.7351,Q37079,Tom Cruise,12,Q115541,Dakota Fanning,24,Q37079 -> Q115541,Tom Cruise -> Dakota Fanning,War of the Worlds,603873119,1
6,easy,1,0.7331,Q2680,Bruce Willis,2,Q2685,Arnold Schwarzenegger,15,Q2680 -> Q2685,Bruce Willis -> Arnold Schwarzenegger,The Expendables 2,314975955,1
7,easy,1,0.7331,Q42869,Nicolas Cage,11,Q13909,Angelina Jolie,17,Q42869 -> Q13909,Nicolas Cage -> Angelina Jolie,Gone in 60 Seconds,237200000,1
8,easy,1,0.7329,Q191084,Val Kilmer,8,Q13909,Angelina Jolie,17,Q191084 -> Q13909,Val Kilmer -> Angelina Jolie,Alexander,167298192,1
9,easy,1,0.7319,Q35332,Brad Pitt,9,Q13909,Angelina Jolie,17,Q35332 -> Q13909,Brad Pitt -> Angelina Jolie,Mr. & Mrs. Smith,478207520,1
10,easy,1,0.7317,Q35332,Brad Pitt,9,Q37079,Tom Cruise,12,Q35332 -> Q37079,Brad Pitt -> Tom Cruise,Interview with the Vampire,223700000,1
11,easy,1,0.7294,Q2685,Arnold Schwarzenegger,15,Q40026,Sylvester Stallone,33,Q2685 -> Q40026,Arnold Schwarzenegger -> Sylvester Stallone,The Expendables 2,314975955,1
12,easy,1,0.7283,Q37079,Tom Cruise,12,Q37459,Nicole Kidman,13,Q37079 -> Q37459,Tom Cruise -> Nicole Kidman,Eyes Wide Shut,55691208,1
13,easy,1,0.728,Q191084,Val Kilmer,8,Q37459,Nicole Kidman,13,Q191084 -> Q37459,Val Kilmer -> Nicole Kidman,Batman Forever,52784433,1
14,easy,1,0.7279,Q13909,Angelina Jolie,17,Q37175,Johnny Depp,22,Q13909 -> Q37175,Angelina Jolie -> Johnny Depp,The Tourist,278300000,1
15,easy,1,0.7271,Q9570,Amitabh Bachchan,16,Q59215,Robert Redford,37,Q9570 -> Q59215,Amitabh Bachchan -> Robert Redford,The Great Gatsby,353641895,1
16,easy,1,0.7267,Q36949,Robert De Niro,5,Q191084,Val Kilmer,8,Q36949 -> Q191084,Robert De Niro -> Val Kilmer,Heat,67436818,1
17,easy,1,0.7262,Q36949,Robert De Niro,5,Q83338,Robin Williams,6,Q36949 -> Q83338,Robert De Niro -> Robin Williams,Awakenings,52096475,1
18,easy,1,0.7258,Q2680,Bruce Willis,2,Q35332,Brad Pitt,9,Q2680 -> Q35332,Bruce Willis -> Brad Pitt,12 Monkeys,168839459,1
19,easy,1,0.7241,Q36949,Robert De Niro,5,Q35332,Brad Pitt,9,Q36949 -> Q35332,Robert De Niro -> Brad Pitt,Sleepers,165615285,1
20,easy,1,0.7226,Q2685,Arnold Schwarzenegger,15,Q10738,Dwayne Johnson,32,Q2685 -> Q10738,Arnold Schwarzenegger -> Dwayne Johnson,The Rundown,80916492,1
21,easy,1,0.7224,Q38111,Leonardo DiCaprio,25,Q287607,Rob Reiner,38,Q38111 -> Q287607,Leonardo DiCaprio -> Rob Reiner,The Wolf of Wall Street,392000000,1
22,easy,1,0.7221,Q58444,Liam Neeson,20,Q38111,Leonardo DiCaprio,25,Q58444 -> Q38111,Liam Neeson -> Leonardo DiCaprio,Gangs of New York,193772504,1
23,easy,1,0.7214,Q36949,Robert De Niro,5,Q102642,Diane Keaton,14,Q36949 -> Q102642,Robert De Niro -> Diane Keaton,The Godfather Part II,47834595,1
24,easy,1,0.7214,Q35332,Brad Pitt,9,Q38111,Leonardo DiCaprio,25,Q35332 -> Q38111,Brad Pitt -> Leonardo DiCaprio,Once Upon a Time in Hollywood,374343626,1
25,easy,1,0.719,Q19848,Lady Gaga,31,Q205707,Bradley Cooper,47,Q19848 -> Q205707,Lady Gaga -> Bradley Cooper,A Star Is Born,430718255,1
26,easy,1,0.7188,Q83338,Robin Williams,6,Q175535,Matt Damon,26,Q83338 -> Q175535,Robin Williams -> Matt Damon,Good Will Hunting,225900000,1
27,easy,1,0.7188,Q83338,Robin Williams,6,Q483118,Ben Affleck,27,Q83338 -> Q483118,Robin Williams -> Ben Affleck,Good Will Hunting,225900000,1
28,easy,1,0.7187,Q34436,Scarlett Johansson,1,Q165219,Robert Downey Jr.,35,Q34436 -> Q165219,Scarlett Johansson -> Robert Downey Jr.,Avengers: Endgame,2797501328,1
29,easy,1,0.7181,Q2680,Bruce Willis,2,Q10738,Dwayne Johnson,32,Q2680 -> Q10738,Bruce Willis -> Dwayne Johnson,G.I. Joe: Retaliation,375700000,1
30,easy,1,0.7179,Q2680,Bruce Willis,2,Q40026,Sylvester Stallone,33,Q2680 -> Q40026,Bruce Willis -> Sylvester Stallone,The Expendables 2,314975955,1
31,easy,1,0.717,Q36949,Robert De Niro,5,Q189490,Jennifer Lawrence,29,Q36949 -> Q189490,Robert De Niro -> Jennifer Lawrence,American Hustle,251000000,1
32,easy,1,0.717,Q38111,Leonardo DiCaprio,25,Q175535,Matt Damon,26,Q38111 -> Q175535,Leonardo DiCaprio -> Matt Damon,The Departed,132399394,1
33,easy,1,0.7168,Q37459,Nicole Kidman,13,Q180338,Christopher Lee,41,Q37459 -> Q180338,Nicole Kidman -> Christopher Lee,The Golden Compass,372234864,1
34,easy,1,0.7163,Q35332,Brad Pitt,9,Q175535,Matt Damon,26,Q35332 -> Q175535,Brad Pitt -> Matt Damon,Ocean's Twelve,362989076,1
35,easy,1,0.7163,Q103939,Charlie Sheen,34,Q165219,Robert Downey Jr.,35,Q103939 -> Q165219,Charlie Sheen -> Robert Downey Jr.,Due Date,211780824,1
36,easy,1,0.7162,Q189490,Jennifer Lawrence,29,Q36301,Anne Hathaway,42,Q189490 -> Q36301,Jennifer Lawrence -> Anne Hathaway,Passengers,303144152,1
37,easy,1,0.7159,Q175535,Matt Damon,26,Q165219,Robert Downey Jr.,35,Q175535 -> Q165219,Matt Damon -> Robert Downey Jr.,Oppenheimer,955300000,1
38,easy,1,0.7154,Q10738,Dwayne Johnson,32,Q36301,Anne Hathaway,42,Q10738 -> Q36301,Dwayne Johnson -> Anne Hathaway,Get Smart,230700000,1
