rank,name,qid,pageviews_12mo,sitelinks,source_movie_count,total_film_count,age_years,films_per_active_year,popularity_score,source_movies,enwiki_title
1,Bruce Lee,Q16397,11457975,161,3,33,33,1.9412,0.867196,Enter the Dragon | Fist of Fury | Way of the Dragon,Bruce Lee
2,Scarlett Johansson,Q34436,6833151,155,10,58,42,2.2308,0.853400,Avengers: Age of Ultron | Avengers: Endgame | Avengers: Infinity War | Black Widow | Captain America: Civil War | Captain America: The Winter Soldier | Captain Marvel | Iron Man 2 | The Avengers | The Jungle Book,Scarlett Johansson
3,Bruce Willis,Q2680,6657291,117,13,117,71,2.1273,0.839542,Armageddon | Charlie's Angels: Full Throttle | Death Becomes Her | Die Hard | Die Hard 2 | Die Hard with a Vengeance | Live Free or Die Hard | Look Who's Talking | Ocean's Twelve | Pulp Fiction | The Sixth Sense | The Verdict | Unbreakable,Bruce Willis
4,Robert De Niro,Q36949,4840211,137,10,128,83,1.9104,0.828566,Cape Fear | Heat | Joker | Meet the Fockers | Meet the Parents | Sleepers | Taxi Driver | The Deer Hunter | The Godfather Part II | The Untouchables,Robert De Niro
5,Keanu Reeves,Q43416,6685125,124,8,72,62,1.5652,0.827716,Bram Stoker's Dracula | John Wick: Chapter 4 | Point Break | Something's Gotta Give | Speed | The Matrix | The Matrix Reloaded | The Matrix Revolutions,Keanu Reeves
6,Jackie Chan,Q36970,3550991,160,4,118,72,2.1071,0.827643,Enter the Dragon | Fist of Fury | Rush Hour 2 | The Cannonball Run,Jackie Chan
7,Robin Williams,Q83338,5156790,161,9,73,63,1.5532,0.827614,"Dead Poets Society | Good Morning, Vietnam | Hook | Jumanji | Mrs. Doubtfire | Night at the Museum | Night at the Museum: Battle of the Smithsonian | Popeye | The Birdcage",Robin Williams
8,Val Kilmer,Q191084,10101745,85,5,70,66,1.4000,0.824040,Batman Forever | Heat | Top Gun | Top Gun: Maverick | Willow,Val Kilmer
9,Brad Pitt,Q35332,5814879,147,10,65,63,1.3830,0.823695,Bullet Train | Deadpool 2 | Interview with the Vampire | Mr. & Mrs. Smith | Ocean's Eleven | Ocean's Twelve | Seven | Sleepers | Troy | World War Z,Brad Pitt
10,Nicolas Cage,Q42869,3486561,119,7,111,62,2.4130,0.822552,Face/Off | Longlegs | Moonstruck | National Treasure | National Treasure: Book of Secrets | Peggy Sue Got Married | The Rock,Nicolas Cage
11,Nicole Kidman,Q37459,4789883,131,4,72,59,1.6744,0.820453,Aquaman | Babygirl | Batman Forever | The Golden Compass,Nicole Kidman
12,Tom Cruise,Q37079,7793664,126,19,52,64,1.0833,0.819108,A Few Good Men | Born on the Fourth of July | Endless Love | Interview with the Vampire | Jerry Maguire | Minority Report | Mission: Impossible | Mission: Impossible 2 | Mission: Impossible III | Mission: Impossible – Fallout | Mission: Impossible – Ghost Protocol | Mission: Impossible – Rogue Nation | Rain Man | The Color of Money | The Firm | The Last Samurai | Top Gun | Top Gun: Maverick | War of the Worlds,Tom Cruise
13,Arnold Schwarzenegger,Q2685,5760460,153,12,75,79,1.1905,0.818832,Commando | Conan the Barbarian | Eraser | Kindergarten Cop | Last Action Hero | Predator | Terminator 2: Judgment Day | Terminator 3: Rise of the Machines | The Terminator | Total Recall | True Lies | Twins,Arnold Schwarzenegger
