movie_qid,movie_title,box_office,actor_qid,actor_name
Q3596113,"""Weird Al"" Yankovic Live!",,Q8349,"""Weird Al"" Yankovic"
Q4540329,"""Weird Al"" Yankovic Live!: The Alpocalypse Tour",,Q8349,"""Weird Al"" Yankovic"
Q3596111,"""Weird Al"" Yankovic: The Videos",,Q8349,"""Weird Al"" Yankovic"
Q134571223,& Sons,,Q207179,Bill Nighy
Q12100227,'71,1270847,Q28542230,Barry Keoghan
Q347260,...And If We All Lived Together,,Q230636,Geraldine Chaplin
Q347260,...And If We All Lived Together,,Q58592,Daniel Brühl
Q18703038,10 Cloverfield Lane,71897215,Q205707,Bradley Cooper
Q18703038,10 Cloverfield Lane,71897215,Q215072,John Goodman
Q18703038,10 Cloverfield Lane,71897215,Q207873,Mary Elizabeth Winstead
Q87221047,10 Double Zero,,Q42869,Nicolas Cage
Q169089,10 Items or Less,,Q26806,Danny DeVito
Q169089,10 Items or Less,,Q48337,Morgan Freeman
Q169089,10 Items or Less,,Q428819,Bobby Cannavale
Q98767248,10 Things We Should Do Before We Break Up,,Q184103,Christina Ricci
Q2351514,10 to Midnight,7175592,Q236842,Kelly Preston
Q2579741,10 Years,203373,Q503706,Chris Pratt
Q2579741,10 Years,203373,Q212064,Channing Tatum
Q2579741,10 Years,203373,Q298672,Justin Long
Q2579741,10 Years,203373,Q231249,Kate Mara
Q2579741,10 Years,203373,Q336788,Oscar Isaac
Q131290709,100 Nights of Hero,,Q234447,Felicity Jones
Q28312316,100 Streets,,Q342604,Idris Elba
Q4546190,100 Women,,Q199929,Jennifer Morrison
Q8594,101 Dalmatians,5534045,Q372311,Glenn Close
Q8594,101 Dalmatians,5534045,Q49017,Hugh Laurie
Q165847,102 Dalmatians,5062428,Q372311,Glenn Close
Q1785876,10th & Wolf,,Q191084,Val Kilmer
Q1785876,10th & Wolf,,Q102711,Dennis Hopper
Q1785876,10th & Wolf,,Q224081,Giovanni Ribisi
Q1785876,10th & Wolf,,Q485901,James Marsden
Q51836237,10x10,,Q722001,Luke Evans
Q603857,"11'09""01 September 11",,Q102551,Ernest Borgnine
Q171582,11:14,,Q49004,Patrick Swayze
Q175038,12 Monkeys,168839459,Q190523,Christopher Plummer
Q175038,12 Monkeys,168839459,Q2680,Bruce Willis
Q175038,12 Monkeys,168839459,Q35332,Brad Pitt
Q245187,12 Rounds,17300000,Q44437,John Cena
Q28863792,12 Strong,45819713,Q54314,Chris Hemsworth
Q28863792,12 Strong,45819713,Q41449,Michael Shannon
Q28863792,12 Strong,45819713,Q359488,Michael Peña
Q3023357,12 Years a Slave,187733202,Q35332,Brad Pitt
Q3023357,12 Years a Slave,187733202,Q208649,Paul Giamatti
Q3023357,12 Years a Slave,187733202,Q317343,Chiwetel Ejiofor
Q3023357,12 Years a Slave,187733202,Q57147,Michael Fassbender
Q3023357,12 Years a Slave,187733202,Q244674,Benedict Cumberbatch
Q3023357,12 Years a Slave,187733202,Q3840847,Lupita Nyong'o
Q112054710,1242: Gateway to the West,,Q207969,Eric Roberts
Q174371,127 Hours,18335230,Q231249,Kate Mara
Q174371,127 Hours,18335230,Q306403,James Franco
Q186799,13,,Q169963,Jason Statham
Q186799,13,,Q41449,Michael Shannon
Q108857610,13 Fanboy,,Q375419,Corey Feldman
Q224187,13 Going on 30,,Q29328,Brie Larson
Q224187,13 Going on 30,,Q236189,Judy Greer
Q224187,13 Going on 30,,Q41422,Mark Ruffalo
Q224187,13 Going on 30,,Q206922,Andy Serkis
Q138697,13 Moons,,Q310937,Peter Dinklage
Q138697,13 Moons,,Q104061,Steve Buscemi
Q138697,13 Moons,,Q316446,Sam Rockwell
Q138697,13 Moons,,Q295148,Peter Stormare
Q15110422,13 Sins,,Q220698,Ron Perlman
Q4463107,13Hrs,,Q105682,Tom Felton
Q203560,1408,,Q106175,John Cusack
Q203560,1408,,Q172678,Samuel L. Jackson
Q180395,15 Minutes,,Q314133,Anton Yelchin
Q180395,15 Minutes,,Q196560,Kelsey Grammer
Q180395,15 Minutes,,Q36949,Robert De Niro
Q180395,15 Minutes,,Q264840,Vera Farmiga
Q180395,15 Minutes,,Q80046,Charlize Theron
Q124697,1900,,Q160528,Burt Lancaster
Q124697,1900,,Q36949,Robert De Niro
Q124697,1900,,Q103784,Donald Sutherland
Q206182,1911,,Q36970,Jackie Chan
Q62721520,1917,159227644,Q244674,Benedict Cumberbatch
Q62721520,1917,159227644,Q162492,Colin Firth
Q207482,1941,,Q105221,Dan Aykroyd
Q207482,1941,,Q180338,Christopher Lee
Q207482,1941,,Q218532,John Candy
Q207494,1942: A Love Story,,Q313956,Anil Kapoor
Q3480756,2 Alone in Paris,,Q208590,Kristin Scott Thomas
Q2778386,2 Days in New York,,Q58592,Daniel Brühl
Q2778386,2 Days in New York,,Q4109,Chris Rock
Q222867,2 Fast 2 Furious,127154901,Q213864,Paul Walker
Q222867,2 Fast 2 Furious,127154901,Q170606,Eva Mendes
Q3598715,2 Guns,,Q42101,Denzel Washington
Q3598715,2 Guns,,Q485901,James Marsden
Q3598715,2 Guns,,Q110374,Bill Paxton
Q3598715,2 Guns,,Q164119,Mark Wahlberg
Q40071,200 Cigarettes,,Q184103,Christina Ricci
Q40071,200 Cigarettes,,Q483118,Ben Affleck
Q40071,200 Cigarettes,,Q270730,Casey Affleck
Q40071,200 Cigarettes,,Q276525,Paul Rudd
Q211278,2001 Maniacs,,Q295148,Peter Stormare
Q211321,2001: A Space Travesty,,Q82786,Leslie Nielsen
Q184605,2012,166112167,Q106175,John Cusack
Q184605,2012,166112167,Q317343,Chiwetel Ejiofor
Q184605,2012,166112167,Q192165,Danny Glover
Q184605,2012,166112167,Q201279,Woody Harrelson
Q17478807,2047 - Sights of Death,,Q220584,Michael Madsen
Q17478807,2047 - Sights of Death,,Q207596,Daryl Hannah
Q17478807,2047 - Sights of Death,,Q192165,Danny Glover
Q17478807,2047 - Sights of Death,,Q213574,Rutger Hauer
Q21010845,20th Century Women,,Q190602,Annette Bening
Q213999,21,157927340,Q25144,Kevin Spacey
Q213999,21,157927340,Q193048,Laurence Fishburne
Q4631008,21 and a Wake-Up,,Q349852,Tom Sizemore
Q4631008,21 and a Wake-Up,,Q168721,Faye Dunaway
Q58411015,21 Bridges,,Q150482,J. K. Simmons
Q58411015,21 Bridges,,Q370918,Keith David
Q58411015,21 Bridges,,Q5066520,Chadwick Boseman
Q820238,21 Hours at Munich,,Q95002,William Holden
Q214014,21 Jump Street,138447667,Q37175,Johnny Depp
Q214014,21 Jump Street,138447667,Q29328,Brie Larson
Q214014,21 Jump Street,138447667,Q212064,Channing Tatum
Q54924330,211,,Q42869,Nicolas Cage
Q215319,22 Bullets,,Q43697,Jean Reno
Q15040917,22 Jump Street,191719337,Q212064,Channing Tatum
Q15040917,22 Jump Street,191719337,Q14537,Bill Hader
Q15040917,22 Jump Street,191719337,Q295148,Peter Stormare
Q42218456,24 Hours to Live,,Q213574,Rutger Hauer
Q17521012,24 XXX: An Axel Braun Parody,,Q503013,Ron Jeremy
Q218458,25th Hour,341517,Q180560,Philip Seymour Hoffman
Q218458,25th Hour,341517,Q34975,Brian Cox
Q19559250,27,,Q117392,Malcolm McDowell
Q221098,28 Days,,Q40791,Sandra Bullock
Q221098,28 Days,,Q255070,Diane Lane
Q221098,28 Days,,Q104061,Steve Buscemi
Q125392328,28 Years Later,151200000,Q28493,Ralph Fiennes
Q125392328,28 Years Later,151200000,Q45923,Aaron Taylor-Johnson
Q129423731,28 Years Later: The Bone Temple,46000000,Q202589,Cillian Murphy
