year,source_page,source_order,wikipedia_title,qid,wikidata_label,release_year,box_office
1970,List_of_American_films_of_1970,146,The Conformist (1970 film),Q1198812,The Conformist,1970,207269000
1970,List_of_American_films_of_1970,173,The Aristocats,Q184701,The Aristocats,1970,191000000
1970,List_of_American_films_of_1970,179,Love Story (1970 film),Q729991,Love Story,1970,173400000
1970,List_of_American_films_of_1970,25,Airport (1970 film),Q409022,Airport,1970,128400000
1970,List_of_American_films_of_1970,15,Patton (film),Q217220,Patton,1970,61800000
1970,List_of_American_films_of_1970,78,Sleeping Beauty (1959 film),Q215617,Sleeping Beauty,1959,51600000
1970,List_of_American_films_of_1970,35,Woodstock (film),Q956288,Woodstock,1970,50000000
1970,List_of_American_films_of_1970,184,Little Big Man (film),Q1132535,Little Big Man,1970,31600000
1970,List_of_American_films_of_1970,66,Beneath the Planet of the Apes,Q469620,Beneath the Planet of the Apes,1970,18999718
1970,List_of_American_films_of_1970,124,Five Easy Pieces,Q1116991,Five Easy Pieces,1970,18099091
1970,List_of_American_films_of_1970,13,The Honeymoon Killers,Q1626875,The Honeymoon Killers,1970,11000000
1970,List_of_American_films_of_1970,87,Kelly's Heroes,Q756920,Kelly's Heroes,1970,5200000
1970,List_of_American_films_of_1970,72,Two Mules for Sister Sara,Q934911,Two Mules for Sister Sara,1970,5050000
1970,List_of_American_films_of_1970,64,Too Late the Hero (film),Q227478,Too Late the Hero,1970,1590000
1970,List_of_American_films_of_1970,60,Borsalino (film),Q894172,Borsalino,1970,1090000
1971,List_of_American_films_of_1971,191,Diamonds Are Forever (film),Q107914,Diamonds Are Forever,1971,115999985
1971,List_of_American_films_of_1971,177,Lady and the Tramp,Q172284,Lady and the Tramp,1955,93933394
1971,List_of_American_films_of_1971,134,The French Connection (film),Q220735,The French Connection,1971,75000000
1971,List_of_American_films_of_1971,189,Dirty Harry,Q110206,Dirty Harry,1971,35988495
1971,List_of_American_films_of_1971,180,A Clockwork Orange (film),Q181086,A Clockwork Orange,1971,26589355
1971,List_of_American_films_of_1971,74,Willard (1971 film),Q1542073,Willard,1971,14545941
1971,List_of_American_films_of_1971,29,Vanishing Point (1971 film),Q586880,Vanishing Point,1971,12442673
1971,List_of_American_films_of_1971,28,The Andromeda Strain (film),Q499036,The Andromeda Strain,1971,12376563
1971,List_of_American_films_of_1971,58,Escape from the Planet of the Apes,Q469639,Escape from the Planet of the Apes,1971,12348905
1971,List_of_American_films_of_1971,48,Bananas (film),Q806092,Bananas,1971,11833696
1971,List_of_American_films_of_1971,95,The Devils (film),Q655996,The Devils,1971,11000000
1971,List_of_American_films_of_1971,140,Play Misty for Me,Q544434,Play Misty for Me,1971,10600000
1971,List_of_American_films_of_1971,80,McCabe & Mrs. Miller,Q1423362,McCabe & Mrs. Miller,1971,8200000
1971,List_of_American_films_of_1971,60,Big Jake,Q858954,Big Jake,1971,7500000
1971,List_of_American_films_of_1971,88,Willy Wonka & the Chocolate Factory,Q936327,Willy Wonka & the Chocolate Factory,1971,4000000
1972,List_of_American_films_of_1972,23,The Godfather,Q47703,The Godfather,1972,270007394
1972,List_of_American_films_of_1972,123,The Poseidon Adventure (1972 film),Q874496,The Poseidon Adventure,1972,125000000
1972,List_of_American_films_of_1972,73,Deliverance,Q814778,Deliverance,1972,46122355
1972,List_of_American_films_of_1972,135,Jeremiah Johnson (film),Q1325034,Jeremiah Johnson,1972,44693786
1972,List_of_American_films_of_1972,9,Cabaret (1972 film),Q918363,Cabaret,1972,41401689
1972,List_of_American_films_of_1972,124,The Getaway (1972 film),Q471864,The Getaway,1972,36734619
1972,List_of_American_films_of_1972,52,Frenzy,Q221587,Frenzy,1972,12600000
1972,List_of_American_films_of_1972,126,The Heartbreak Kid (1972 film),Q1338889,The Heartbreak Kid,1972,12208000
1972,List_of_American_films_of_1972,137,The Sword in the Stone (1963 film),Q204662,The Sword in the Stone,1963,12000000
1972,List_of_American_films_of_1972,59,Conquest of the Planet of the Apes,Q469646,Conquest of the Planet of the Apes,1972,9043472
1972,List_of_American_films_of_1972,19,Pink Flamingos,Q1140590,Pink Flamingos,1972,6000000
1972,List_of_American_films_of_1972,138,Way of the Dragon,Q462409,Way of the Dragon,1972,5307350
1972,List_of_American_films_of_1972,21,Fist of Fury,Q253565,Fist of Fury,1972,4431423
1972,List_of_American_films_of_1972,40,The Other (1972 film),Q1059536,The Other,1972,3500000
1972,List_of_American_films_of_1972,12,Tales from the Crypt (film),Q1615432,Tales from the Crypt,1972,3000000
1973,List_of_American_films_of_1973,202,The Exorcist,Q274167,The Exorcist,1973,441306145
1973,List_of_American_films_of_1973,98,Live and Let Die (film),Q27204,Live and Let Die,1973,161800000
